qualification_level,nation,count,min_wage_ratio,max_wage_ratio,requires_degree
2.0,England,1091,0.8956205685903229,0.9309964892828605,False
2.0,Northern Ireland,2,,,False
2.0,Scotland,1,1.9154931693596675,2.562978925258955,False
2.0,Wales,8,0.9389672398821899,0.985761125099598,False
3.0,England,4398,1.0391238927689999,1.022727070640763,False
3.0,Northern Ireland,1,,,False
3.0,Scotland,4,1.2594260185199504,1.2372144522009347,False
3.0,Wales,51,1.1315760517727846,0.9899739083471253,False
6.0,England,1130,1.350860928030261,1.5881705726825923,True
6.0,Scotland,4,1.2625352137571724,1.190909017103583,True
6.0,Wales,23,0.8105167335774083,0.8214676042496649,True
